node,nf_degree_centrality,nf_closeness_centrality,nf_pagerank,nf_load_centrality,nf_average_neighbor_degree,nf_eigenvector_centrality,nf_harmonic_centrality,nf_betweenness_centrality,nf_hub_score,nf_constraint,nf_coreness,nf_eccentricity
15085,0.0136506825341267,0.4675285206657939,0.0001125117656992,0.0002599126059689,517.047619047619,0.0101329266002666,0.3811373902027124,727.6071693364463,0.0026440566033769,0.0936913720675353,11,5.0
15563,0.0189009450472523,0.4827178373159546,0.0001342909310588,0.000190637619823,727.8809523809524,0.0178404672755325,0.3415762454788619,157.28331132324695,0.0014093201185737,0.0655501367659096,16,5.0
8241,0.0216510825541277,0.4650173227614109,0.0001407005439753,0.0002040960836272,502.7390300230947,0.0153730746452844,0.4433430004833402,10626.973068377392,0.0228369435891342,0.0127950456900815,69,4.0
17954,0.0070003500175008,0.4556515003075801,5.521867770866237e-05,1.2191283054209272e-05,926.1571428571428,0.0078919239173576,0.3542427121355198,260.16815436183055,0.0021678128726422,0.0844426116120605,11,5.0
3481,0.0203010150507525,0.4696585411676295,0.000169295766957,0.0003748973270074,346.5270935960591,0.0107664948307767,0.4028009733818279,17144.591484291046,0.0078008304240586,0.0722044372027703,13,5.0
1208,0.0093004650232511,0.4257099067648686,7.504995660759039e-05,3.668295815089488e-05,290.3763440860215,0.0045002602395846,0.4997708218744663,120802.8250745761,0.1747155622281876,0.0027074272683268,129,4.0
16563,0.0198509925496274,0.4643694708245292,0.0001515580676939,0.0001550398078095,356.3476070528967,0.0119452543532577,0.449393302998498,175.536747143857,0.0179510615400661,0.0401873730113757,26,4.0
13132,0.0111005550277513,0.4339307411907654,9.291033776429344e-05,7.807328605604763e-05,259.4234234234234,0.004889528891777,0.4764529893162251,2636.9221167430937,0.0572282315490909,0.0125482838312395,77,4.0
4923,0.016750837541877,0.4448967787862609,0.0001340088034703,0.0001416629685598,271.1701492537313,0.0083191010142266,0.4682025767956025,8060.6859409637955,0.0628281497621041,0.008989212027945,99,4.0
12218,0.0225011250562528,0.4895596191035715,0.0001714609358716,0.0005074645626048,667.72,0.020236953537982,0.4431138223577675,3779.597327094436,0.025004114687038,0.0111970015321199,71,4.0
10079,0.0032001600080004,0.4575487885790112,2.903987496236944e-05,4.537033808981341e-06,1212.625,0.0044851711881424,0.4650315849126563,6559.611474806091,0.0943344949024359,0.0058899910628053,127,4.0
3785,0.0071003550177508,0.4342793858982433,5.51563048866222e-05,1.793607956985531e-05,540.2746478873239,0.006154097651056,0.4464514892411234,14667.72378376016,0.0305742065191008,0.0069862229475456,83,4.0
3490,0.0129506475323766,0.4646499848981203,9.46816725988452e-05,6.534377541474525e-05,584.8494208494209,0.0116638766297007,0.4794531393237283,12969.502352210706,0.0885588019095484,0.0049167089816879,127,4.0
17368,0.0067003350167508,0.4642832269297736,5.308319907507207e-05,3.4822999675987294e-05,978.1119402985074,0.0087977600747605,0.4457306198643233,936.939138743506,0.0199934189305734,0.0210071834293907,50,4.0
1808,0.0064003200160008,0.4601067501035292,5.439460866607764e-05,7.150990791290012e-05,829.53125,0.006348935838067,0.4533851692584929,1736.262865101244,0.042958479378772,0.0118321996852218,85,4.0
6979,0.0038001900095004,0.4516690004065224,3.3663424230376955e-05,3.710595555209405e-06,1165.75,0.0047647747422106,0.4674858742938017,15836.506642593631,0.0946280871589702,0.0054752409257466,125,4.0
1621,0.0126506325316265,0.4740335158453625,9.284323161136344e-05,0.0001094638759402,633.7075098814229,0.0121711554531616,0.4431888261079573,800.1398450361261,0.0244385950083716,0.0193226769273787,53,4.0
8277,0.0036501825091254,0.4403029435723564,3.241432656530702e-05,8.243228406012083e-06,897.2054794520548,0.0042491055773851,0.3800531693250051,727.4669652992616,0.0056512496616466,0.0340092827868293,30,5.0
1105,0.0135006750337516,0.4721422163463808,9.659121798060626e-05,0.0001540552096062,690.3740740740741,0.0121310027909279,0.4730694868077838,17471.075420711124,0.1103011723621933,0.0043719867372381,129,4.0
4606,0.0015500775038751,0.4107667344465668,1.9094953974886026e-05,3.0366964627011147e-06,1263.1290322580646,0.0020911305229641,0.4305673617013471,1457.3309197692593,0.0181657029017829,0.0317251973016636,31,4.0
5759,0.0076003800190009,0.4408367499889785,6.0808794813854094e-05,2.966628606566828e-05,587.3421052631579,0.0068576295115712,0.4261171391901921,3738.0724375704863,0.0569290738275136,0.0062091920350729,127,4.0
16453,0.008200410020501,0.4642724486953292,6.533155511728961e-05,4.7158163070939474e-05,738.1646341463414,0.0081186130055377,0.3181567411703731,44.91651459031535,9.077942382335188e-05,0.1798312263838724,6,5.0
16244,0.0260513025651282,0.4810111359645958,0.0001932991575868,0.0004196554984032,393.5815738963532,0.0159225637967757,0.3349725819623727,21.474427971894627,0.0005103333996191,0.25,4,5.0
18851,0.008000400020001,0.4736069339522106,5.962414712547492e-05,2.237980233482561e-05,1150.775,0.0117220913751674,0.4307673717018481,182.56966162463053,0.0165345730003331,0.0380969171742401,27,4.0
19189,0.0061503075153757,0.4342039557958271,5.0667059051738246e-05,3.016997397570465e-05,537.6422764227642,0.0048632377392715,0.383554177708749,440.02941076195015,0.0030234002896589,0.0942934276933007,11,5.0
16314,0.0097504875243762,0.4694490739653998,8.286664810885208e-05,0.0001737595856366,784.8,0.0107284828972824,0.4088162741468763,446.8374142063701,0.0079831845988201,0.0511717451191557,19,4.0
2038,0.0100005000250012,0.4303451540712687,8.714472451026857e-05,8.407842590030404e-05,264.085,0.0045567036880953,0.43595929796485,3366.459085415816,0.0180292886308054,0.0225411869288117,53,4.0
3060,0.0154007700385019,0.4792360595240948,0.0001076883629787,9.794973851352028e-05,826.5422077922078,0.0195928144667469,0.4298189909494661,13577.929061582818,0.0204089817556147,0.0071450924605482,78,5.0
13723,0.0013500675033751,0.4012398932648516,1.6628145890021083e-05,4.40710944290978e-07,1060.074074074074,0.0016849378301515,0.4550727536377221,874.173129758431,0.0209693586096464,0.0274237470287303,37,4.0
11716,0.0040002000100005,0.4454715552189602,3.589775541608452e-05,4.065151605870426e-05,954.1125,0.0048251956866226,0.442644632231594,871.9907567891544,0.0314474601269749,0.0172738077561706,58,5.0
13508,0.0211510575528776,0.4751484913281064,0.0001589183217377,0.0002377389524341,541.7895981087471,0.0173245014566634,0.3749137456871678,104.59511883297417,0.0042042415394366,0.069984057465626,15,5.0
19425,0.0055502775138756,0.4504583643038944,5.402184231670662e-05,7.415423760962584e-05,726.6126126126126,0.0052303435298898,0.4065428271411894,122.64495657307152,0.0082330766930899,0.0563256074510813,18,5.0
12224,0.0061503075153757,0.455848832968636,4.816627839378309e-05,1.3314619101819128e-05,910.7235772357724,0.0078004938014181,0.3999216627496309,1344.4213900821762,0.010662302631783,0.0187607445896391,47,5.0
1955,0.0033501675083754,0.4012479435014646,3.0333895771108496e-05,6.47890728406811e-06,415.6716417910448,0.0022591666370781,0.4267713385668392,6273.254889678683,0.0162648192985252,0.0264652297969414,32,4.0
13484,0.0124506225311265,0.4576011349075599,9.90554488553716e-05,0.0001234395317022,592.855421686747,0.0103308042300861,0.4566811673917491,798.8699250671742,0.0372698744157244,0.0159672082296989,65,4.0
18348,0.0074503725186259,0.4637126692635874,5.61362060106375e-05,2.482427367043417e-05,746.4765100671141,0.0081605878496107,0.3507933730018925,957.5626581860768,0.0022461707248813,0.043245183958725,19,5.0
5869,0.0095004750237511,0.4230533285384892,7.566233206676872e-05,2.825452232342341e-05,315.72105263157897,0.0055854955184989,0.4450972548627356,2548.8112537492498,0.032761381155366,0.0126562661628455,72,4.0
10179,0.0057502875143757,0.4271465185818026,4.888264676233172e-05,1.3301408439351532e-05,439.11304347826086,0.0040320340915999,0.4103388502756837,2529.226367939209,0.0189684107466933,0.0163244252183487,57,5.0
11339,0.0027501375068753,0.4250313476292691,3.0545715558844145e-05,1.5025432920556008e-05,748.709090909091,0.0021762661296151,0.3871285230926776,1382.5326442935134,0.0086058068976177,0.0252734890401668,37,5.0
7864,0.0049002450122506,0.4460179754231807,4.187641830526723e-05,3.539012435085128e-05,775.969387755102,0.0052559468828555,0.4855409437139316,82560.26575306716,0.0870105937467715,0.0043881370630815,112,4.0
16630,0.0058502925146257,0.4546673941708725,4.899375967177981e-05,2.440382478952213e-05,649.7008547008547,0.0049254444861518,0.331980765704895,5.0372270763433695,0.0004519952909897,0.1268579741392039,9,5.0
2619,0.0338016900845042,0.4849418040737148,0.0002488700334362,0.0005073939076457,378.22633136094674,0.0225258667138078,0.4843283830858936,6730.8165664490925,0.109114344850373,0.0062693604240106,122,4.0
14710,0.0025501275063753,0.4267819035424669,2.581001543034456e-05,8.668211498941001e-06,992.3529411764706,0.0030023432814999,0.3650449189125167,46.47831891939188,0.0068811250743398,0.048551826048139,22,5.0
6179,0.0107005350267513,0.4455807321257491,7.272938851819831e-05,5.6659879904745766e-05,600.6401869158879,0.008922626108494,0.3407287031017441,777.1299218659638,0.0008976493629688,0.0397234061857465,21,5.0
12527,0.0071503575178758,0.4622229412716389,5.241261261784188e-05,9.763919110162222e-06,982.013986013986,0.0105830866997311,0.4624747904062561,12789.112181996632,0.0483658014256666,0.0081891699117536,85,5.0
7809,0.0047002350117505,0.4150461761959116,4.2307717087286265e-05,1.7823005788596502e-05,461.1489361702128,0.0028632153920701,0.4426429654815901,513.0959845211363,0.0228240407376237,0.0199480686563913,52,4.0
13798,0.0023501175058752,0.442916306779173,2.4225486231681846e-05,1.0028196270091538e-05,1621.042553191489,0.0043120005012582,0.3692051269229097,27.769235426257644,0.0043081555511479,0.0721053173576526,14,5.0
6874,0.0056502825141257,0.443407312152185,4.480340198646348e-05,1.7774271543431773e-05,647.1150442477876,0.0054346182971729,0.4739695318100397,13375.78730426736,0.0853299205300189,0.0047876694330558,121,4.0
3173,0.0398019900995049,0.4724656854638663,0.0002929058358704,0.0007117983287241,262.6909547738693,0.0180489694284196,0.4151790922878038,1714.9946051747738,0.0171202281317163,0.0168948880129899,66,4.0
17732,0.0067003350167508,0.4709747309422321,5.0825269031689256e-05,1.1786580879133626e-05,1193.3283582089553,0.0097590368085898,0.4469973498674958,1627.6161593501977,0.0234591097849809,0.0190667145459946,54,4.0
6806,0.0174508725436271,0.4584087835514704,0.0001089627582977,9.361273420053777e-05,524.810888252149,0.0127716310577479,0.4724236211811671,7214.246088290624,0.0391689494364164,0.0120674957557598,75,4.0
5582,0.0034001700085004,0.4561815693430657,3.01511560567223e-05,6.729216103020912e-06,1350.1470588235295,0.0056121920030513,0.4442097104855143,724.9308605173989,0.0182837752539674,0.0221814833741478,49,4.0
19340,0.008600430021501,0.4490827027148407,8.30743823717477e-05,0.0001484726596282,606.1744186046511,0.0062120159576965,0.3558661266395744,119.4477364551671,0.0027051388470986,0.105183024528202,9,5.0
10863,0.000400020001,0.3896465728870358,1.0378943376921783e-05,1.881829930237172e-08,2072.375,0.0007696516828504,0.3979340633696664,135.1532419807094,0.0119874070285842,0.0263446097799249,41,5.0
7703,0.0041502075103755,0.4163509180996794,3.859952331574099e-05,2.4033963522300325e-05,562.9036144578313,0.003284095104048,0.341381235728375,135.67156704933598,0.0017972726706831,0.0434715423014826,26,5.0
12242,0.0039001950097504,0.4403708107632008,3.397210225053344e-05,1.0889364907592856e-05,976.551282051282,0.0050108244444011,0.4088162741468742,1796.8372022336275,0.0147533387656465,0.0169830357809076,56,4.0
2460,0.0285514275713785,0.4796613421595433,0.00021693521967,0.0004622209850734,346.96672504378284,0.0173044622011531,0.4160208010399132,1440.6124009198056,0.0128677745147933,0.0191316561551353,49,4.0
468,0.0044002200110005,0.4487098945479021,3.640349789756368e-05,1.2511305237793075e-05,991.9204545454544,0.0056521672406289,0.4480015667450094,1956.113095611524,0.0318179272028181,0.0127226526569692,78,4.0
